run,model,data_variant,accuracy,precision,recall,f1
22,KNN,clean,0.9444444444444444,0.9458333333333333,0.9523809523809524,0.9460624265378086
22,GaussianNB,clean,0.9259259259259259,0.9274509803921568,0.9365079365079364,0.9265350877192983
22,DecisionTree,clean,0.8333333333333334,0.8342592592592593,0.8481481481481481,0.8333261491156229
22,RandomForest,clean,0.9629629629629629,0.9616228070175438,0.9682539682539683,0.9635716361522814
22,SASKC,clean,0.8888888888888888,0.9067028985507246,0.9047619047619048,0.8930413497683364
23,LogisticRegression,clean,0.9814814814814815,0.9848484848484849,0.9777777777777779,0.9807538091419407
23,SVC,clean,0.9814814814814815,0.9848484848484849,0.9777777777777779,0.9807538091419407
23,KNN,clean,0.9629629629629629,0.9607843137254902,0.9682539682539683,0.9625
23,GaussianNB,clean,0.9814814814814815,0.9791666666666666,0.9841269841269842,0.981117230527144
23,DecisionTree,clean,0.9259259259259259,0.9269005847953217,0.9365079365079364,0.9256002413897151
23,RandomForest,clean,1.0,1.0,1.0,1.0
23,SASKC,clean,0.9629629629629629,0.9616228070175438,0.9682539682539683,0.9635716361522814
24,LogisticRegression,clean,0.9444444444444444,0.9458333333333333,0.9523809523809524,0.9460624265378086
24,SVC,clean,0.9629629629629629,0.9619047619047619,0.9619047619047619,0.9619047619047619
24,KNN,clean,0.8703703703703703,0.8768939393939394,0.8825396825396826,0.8713455390874746
24,GaussianNB,clean,0.9444444444444444,0.9432404540763674,0.9523809523809524,0.944516632016632
24,DecisionTree,clean,0.8333333333333334,0.8657407407407408,0.8354497354497354,0.8396418396418396
24,RandomForest,clean,0.9814814814814815,0.9824561403508771,0.9841269841269842,0.9828609096901779
24,SASKC,clean,0.9074074074074074,0.9131652661064426,0.9206349206349206,0.908480595980596
25,LogisticRegression,clean,1.0,1.0,1.0,1.0
25,SVC,clean,0.9814814814814815,0.9848484848484849,0.9814814814814815,0.9827242524916944
25,KNN,clean,0.9814814814814815,0.9791666666666666,0.9841269841269842,0.981117230527144
25,GaussianNB,clean,0.9814814814814815,0.9848484848484849,0.9814814814814815,0.9827242524916944
25,DecisionTree,clean,0.9444444444444444,0.9474747474747476,0.9433862433862433,0.94499815430048
25,RandomForest,clean,0.9814814814814815,0.9791666666666666,0.9841269841269842,0.981117230527144
25,SASKC,clean,0.9629629629629629,0.9607843137254902,0.9682539682539683,0.9625
26,LogisticRegression,clean,1.0,1.0,1.0,1.0
26,SVC,clean,1.0,1.0,1.0,1.0
26,KNN,clean,0.9629629629629629,0.9666666666666667,0.9682539682539683,0.9657894736842105
26,GaussianNB,clean,0.9814814814814815,0.9824561403508771,0.9841269841269842,0.9828609096901779
26,DecisionTree,clean,0.8703703703703703,0.8893939393939393,0.8698412698412699,0.8727190605239384
26,RandomForest,clean,0.9814814814814815,0.9824561403508771,0.9841269841269842,0.9828609096901779
26,SASKC,clean,0.9444444444444444,0.9523809523809524,0.9523809523809524,0.9487179487179488
27,LogisticRegression,clean,0.9814814814814815,0.9791666666666666,0.9841269841269842,0.981117230527144
27,SVC,clean,1.0,1.0,1.0,1.0
27,KNN,clean,1.0,1.0,1.0,1.0
27,GaussianNB,clean,1.0,1.0,1.0,1.0
27,DecisionTree,clean,0.9259259259259259,0.9466666666666667,0.9259259259259259,0.9293478260869565
27,RandomForest,clean,1.0,1.0,1.0,1.0
27,SASKC,clean,0.9814814814814815,0.9824561403508771,0.9841269841269842,0.9828609096901779
28,LogisticRegression,clean,0.9444444444444444,0.9435672514619883,0.9460317460317459,0.9443785248663298
28,SVC,clean,1.0,1.0,1.0,1.0
28,KNN,clean,0.9444444444444444,0.9435672514619883,0.9460317460317459,0.9443785248663298
28,GaussianNB,clean,1.0,1.0,1.0,1.0
28,DecisionTree,clean,0.8888888888888888,0.8911064425770308,0.8931216931216932,0.8915514592933947
28,RandomForest,clean,1.0,1.0,1.0,1.0
28,SASKC,clean,0.9629629629629629,0.9616228070175438,0.9682539682539683,0.9635716361522814
29,LogisticRegression,clean,0.9814814814814815,0.9824561403508771,0.9841269841269842,0.9828609096901779
29,SVC,clean,1.0,1.0,1.0,1.0
29,KNN,clean,0.9074074074074074,0.9185606060606061,0.9206349206349206,0.9108689334495786
29,GaussianNB,clean,1.0,1.0,1.0,1.0
29,DecisionTree,clean,0.9074074074074074,0.9116402116402117,0.9142857142857143,0.9094017094017094
29,RandomForest,clean,0.9629629629629629,0.9656084656084656,0.9656084656084656,0.9656084656084656
29,SASKC,clean,0.9074074074074074,0.9185606060606061,0.9206349206349206,0.9108689334495786
30,LogisticRegression,clean,1.0,1.0,1.0,1.0
30,SVC,clean,1.0,1.0,1.0,1.0
30,KNN,clean,0.9629629629629629,0.9616228070175438,0.9682539682539683,0.9635716361522814
30,GaussianNB,clean,1.0,1.0,1.0,1.0
30,DecisionTree,clean,0.8518518518518519,0.8568510737628384,0.8640211640211639,0.8525352275352276
30,RandomForest,clean,1.0,1.0,1.0,1.0
30,SASKC,clean,0.9444444444444444,0.9432404540763674,0.9523809523809524,0.944516632016632
31,LogisticRegression,clean,1.0,1.0,1.0,1.0
31,SVC,clean,1.0,1.0,1.0,1.0
31,KNN,clean,0.9629629629629629,0.9666666666666667,0.9682539682539683,0.9657894736842105
31,GaussianNB,clean,0.9814814814814815,0.9848484848484849,0.9814814814814815,0.9827242524916944
31,DecisionTree,clean,0.9444444444444444,0.9500891265597148,0.947089947089947,0.9481727574750831
31,RandomForest,clean,1.0,1.0,1.0,1.0
31,SASKC,clean,0.9814814814814815,0.9824561403508771,0.9841269841269842,0.9828609096901779
32,LogisticRegression,clean,1.0,1.0,1.0,1.0
32,SVC,clean,0.9814814814814815,0.9848484848484849,0.9777777777777779,0.9807538091419407
32,KNN,clean,0.9814814814814815,0.9791666666666666,0.9841269841269842,0.981117230527144
32,GaussianNB,clean,0.9814814814814815,0.9791666666666666,0.9841269841269842,0.981117230527144
32,DecisionTree,clean,0.8888888888888888,0.8975845410628019,0.8867724867724868,0.8904931669637551
32,RandomForest,clean,1.0,1.0,1.0,1.0
32,SASKC,clean,0.9814814814814815,0.9791666666666666,0.9841269841269842,0.981117230527144
33,LogisticRegression,clean,1.0,1.0,1.0,1.0
33,SVC,clean,1.0,1.0,1.0,1.0
33,KNN,clean,0.9629629629629629,0.9616228070175438,0.9682539682539683,0.9635716361522814
33,GaussianNB,clean,0.9814814814814815,0.9848484848484849,0.9814814814814815,0.9827242524916944
33,DecisionTree,clean,0.9444444444444444,0.9583333333333334,0.937037037037037,0.9444444444444443
33,RandomForest,clean,1.0,1.0,1.0,1.0
33,SASKC,clean,0.9629629629629629,0.9616228070175438,0.9682539682539683,0.9635716361522814
34,LogisticRegression,clean,0.9629629629629629,0.9616228070175438,0.9682539682539683,0.9635716361522814
34,SVC,clean,0.9814814814814815,0.9791666666666666,0.9841269841269842,0.981117230527144
34,KNN,clean,0.9629629629629629,0.9607843137254902,0.9682539682539683,0.9625
34,GaussianNB,clean,0.9629629629629629,0.9607843137254902,0.9682539682539683,0.9625
34,DecisionTree,clean,0.9074074074074074,0.905114092420594,0.9142857142857143,0.9065892815892816
34,RandomForest,clean,0.9629629629629629,0.9607843137254902,0.9682539682539683,0.9625
34,SASKC,clean,0.9629629629629629,0.9607843137254902,0.9682539682539683,0.9625
35,LogisticRegression,clean,0.9814814814814815,0.9848484848484849,0.9777777777777779,0.9807538091419407
35,SVC,clean,1.0,1.0,1.0,1.0
35,KNN,clean,1.0,1.0,1.0,1.0
35,GaussianNB,clean,0.9814814814814815,0.9848484848484849,0.9814814814814815,0.9827242524916944
35,DecisionTree,clean,0.9074074074074074,0.9127153891859775,0.908994708994709,0.9104466592838687
35,RandomForest,clean,1.0,1.0,1.0,1.0
35,SASKC,clean,1.0,1.0,1.0,1.0
36,LogisticRegression,clean,0.9814814814814815,0.9848484848484849,0.9777777777777779,0.9807538091419407
36,SVC,clean,0.9629629629629629,0.9710144927536232,0.9555555555555556,0.961038961038961
36,KNN,clean,0.9629629629629629,0.9665831244778613,0.9619047619047619,0.963623722244412
36,GaussianNB,clean,1.0,1.0,1.0,1.0
36,DecisionTree,clean,0.9444444444444444,0.9583333333333334,0.9407407407407407,0.9466756817669597
36,RandomForest,clean,0.9814814814814815,0.9848484848484849,0.9814814814814815,0.9827242524916944
36,SASKC,clean,0.9629629629629629,0.9666666666666667,0.9682539682539683,0.9657894736842105
37,LogisticRegression,clean,0.9814814814814815,0.9848484848484849,0.9777777777777779,0.9807538091419407
37,SVC,clean,0.9814814814814815,0.9848484848484849,0.9777777777777779,0.9807538091419407
37,KNN,clean,1.0,1.0,1.0,1.0
37,GaussianNB,clean,1.0,1.0,1.0,1.0
37,DecisionTree,clean,0.9444444444444444,0.9474747474747476,0.9433862433862433,0.94499815430048
37,RandomForest,clean,1.0,1.0,1.0,1.0
37,SASKC,clean,0.9629629629629629,0.9666666666666667,0.9682539682539683,0.9657894736842105
38,LogisticRegression,clean,1.0,1.0,1.0,1.0
38,SVC,clean,1.0,1.0,1.0,1.0
38,KNN,clean,0.9629629629629629,0.9666666666666667,0.9682539682539683,0.9657894736842105
38,GaussianNB,clean,1.0,1.0,1.0,1.0
38,DecisionTree,clean,0.9444444444444444,0.9482456140350877,0.9497354497354498,0.9485827290705341
38,RandomForest,clean,1.0,1.0,1.0,1.0
38,SASKC,clean,0.9629629629629629,0.9666666666666667,0.9682539682539683,0.9657894736842105
39,LogisticRegression,clean,1.0,1.0,1.0,1.0
39,SVC,clean,1.0,1.0,1.0,1.0
39,KNN,clean,0.9629629629629629,0.9666666666666667,0.9682539682539683,0.9657894736842105
39,GaussianNB,clean,1.0,1.0,1.0,1.0
39,DecisionTree,clean,0.9259259259259259,0.9269005847953217,0.9238095238095237,0.9247622006242696
39,RandomForest,clean,1.0,1.0,1.0,1.0
39,SASKC,clean,0.9814814814814815,0.9824561403508771,0.9841269841269842,0.9828609096901779
40,LogisticRegression,clean,0.9814814814814815,0.9791666666666666,0.9841269841269842,0.981117230527144
40,SVC,clean,0.9629629629629629,0.9632936507936508,0.9656084656084656,0.9638504864311316
40,KNN,clean,0.9444444444444444,0.9432404540763674,0.9523809523809524,0.944516632016632
40,GaussianNB,clean,0.9444444444444444,0.9441176470588234,0.9497354497354498,0.9452526132404181
40,DecisionTree,clean,0.9074074074074074,0.9074074074074074,0.917989417989418,0.9084434084434084
40,RandomForest,clean,0.9444444444444444,0.9432404540763674,0.9523809523809524,0.944516632016632
40,SASKC,clean,0.9259259259259259,0.9274509803921568,0.9365079365079364,0.9265350877192983
41,LogisticRegression,clean,0.9629629629629629,0.9666666666666667,0.9682539682539683,0.9657894736842105
41,SVC,clean,0.9814814814814815,0.9848484848484849,0.9777777777777779,0.9807538091419407
41,KNN,clean,0.9629629629629629,0.9666666666666667,0.9682539682539683,0.9657894736842105
41,GaussianNB,clean,0.9814814814814815,0.9824561403508771,0.9841269841269842,0.9828609096901779
41,DecisionTree,clean,0.8888888888888888,0.8888888888888888,0.8994708994708995,0.8899248899248899
